orden,apellido,nombre,genero,partido,partidoCorto,alineacion
1,SANTORO,LEANDRO JORGE,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
2,NEGRI,CLAUDIA VIVIANA,F,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
3,MOCHI,FEDERICO PATRICIO,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
4,GONZÁLEZ,ANDREA MARIANA,F,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
5,MODARELLI,JUAN PABLO,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
6,GEMINIANI,NOEMÍ AÍDA,F,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
7,SALVATIERRA,ALEJANDRO DAVID,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
8,ROSSEN,BÁRBARA LAURA,F,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
9,CAPORICCIO,FRANCISCO VICENTE,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
10,IAÑEZ,BERENICE LÍA,F,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
11,OLMOS,JUAN MANUEL,M,ES AHORA BUENOS AIRES,ES AHORA BUENOS AIRES,Peronismo
1,LOSPENNATO,SILVIA GABRIELA,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
2,LOMBARDI,HERNÁN SANTIAGO,M,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
3,ALONSO,LAURA,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
4,NIETO,DARÍO HUGO,M,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
5,FIGUEROA,ROCÍO LAURA,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
6,WOLFF,WALDO EZEQUIEL,M,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
7,MORALES GORLERI,VICTORIA,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
8,GARCÍA BATALLÁN,LAUTARO,M,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
9,BRACCIA,LUCÍA,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
10,JARVIS,EZEQUIEL EDGARDO,M,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
11,BROWN,PILAR,F,BUENOS AIRES PRIMERO,BUENOS AIRES PRIMERO,Pro
1,KIM,ALEJANDRO,M,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES,Peronismo
2,LIROLA,NYDIA,F,PRINCIPIOS Y VALORES,PRINCIPIOS Y VALORES,Peronismo
